tanggal,SO2
2025-08-24,0.0005437613775332769
2025-08-25,0.00018217807155451737
2025-08-26,-0.0002579426291049458
2025-08-27,0.0001070174421329284
2025-08-28,-6.550609032274224e-05
2025-08-29,0.0003075139199305947
2025-08-30,8.57100571920455e-05
2025-08-31,0.00014132979777059518
2025-09-01,9.330072377148706e-05
2025-09-02,0.0001629184334888123
2025-09-03,-7.445447348194041e-05
2025-09-04,6.175727612571791e-05
2025-09-05,-4.909543046475544e-06
2025-09-06,-0.0004503413911152165
2025-09-07,-0.0003127387371932855
2025-09-09,-0.00010538247200505188
2025-09-11,0.0005003470942028798
2025-09-12,0.0003353348729433492
2025-09-13,0.00020184054437777377
2025-09-14,7.66327296635912e-05
2025-09-15,5.504834462044528e-05
2025-09-16,-0.0002630659813197174
2025-09-21,0.00012423279258655384
2025-09-22,0.0003726783324964345
2025-09-23,-0.00012801568785410686
2025-09-24,8.418677771260263e-05
2025-09-25,-3.818228772919005e-05
2025-09-26,5.145631318252223e-05
2025-09-27,2.647474320838228e-05
2025-09-28,3.672673240847265e-05
2025-09-29,-5.900355699850479e-05
2025-10-02,-0.0002904887417874609
2025-10-03,-4.285495102370381e-05
2025-10-04,4.972336516099555e-05
2025-10-05,-0.00019473019832124316
2025-10-06,-5.571910029781672e-05
2025-10-07,0.0001231820902300266
2025-10-08,0.00018995664261941175
2025-10-09,6.217777869702938e-05
2025-10-10,-1.4587380064767784e-05
2025-10-11,-0.0002959644771181047
2025-10-12,-0.0001819257740862668
2025-10-14,0.0001021000086135852
2025-10-16,-0.00014182303493726067
2025-10-17,-9.889389912132174e-05
2025-10-18,-0.0005177911043574568
2025-10-19,3.267620437933753e-05
2025-10-23,0.00017188157653436065
2025-10-26,5.679912040553366e-06
2025-10-28,-5.496609931772885e-05
2025-11-04,-7.059202410649353e-05
2025-11-06,0.00012938589497935027
2025-11-07,0.0004110759327886626
2025-11-18,-6.612927973037586e-05
2025-11-19,5.059811228420585e-05
2025-11-20,-0.00047843471256783234
2025-11-21,0.00010411907533125486
2025-11-22,0.00015951076857163572
2025-12-03,2.3857191460289567e-05
2025-12-05,-0.0003848068554361817
2025-12-06,-0.00013538582279579714
2025-12-07,-2.837260884310429e-06
2025-12-10,-0.0002961425489047542
2025-12-11,-8.174247341230512e-06
2025-12-12,9.831335713291384e-05
2025-12-13,0.0002037409576587379
2025-12-14,5.420585997247447e-06
2025-12-15,0.00024071070462620503
2025-12-17,3.46651920608565e-05
2025-12-21,-5.183739184152122e-05
2025-12-22,2.900860514879848e-05
2025-12-23,0.00035347259108675644
2025-12-24,0.00023316296574193984
2025-12-25,0.00010871397474450836
2025-12-26,4.61334377177991e-05
2025-12-28,0.00026105568698161125
2025-12-29,0.00023943298826149356
2026-01-01,-0.0003192649455741048
2026-01-04,5.458972373162396e-05
2026-01-06,-0.00015860661733313464
2026-01-08,0.00026823476461383205
2026-01-09,-0.00035698396823136136
2026-01-14,1.6365393094019964e-06
2026-01-19,7.539329344581347e-05
2026-01-24,0.00017239619167715622
2026-01-25,3.5866746429746854e-05
2026-01-29,-8.99237851020492e-05
2026-01-30,-7.120040027075447e-05
2026-01-31,0.0002132042973244097
2026-02-01,-2.9100147003191523e-05
2026-02-02,-0.00022132791733990112
2026-02-03,2.9745451380828552e-05
2026-02-04,-1.3620193082412394e-05
2026-02-06,8.680327755428152e-05
2026-02-08,-0.0001388825330650434
2026-02-12,7.215174628072418e-05
2026-02-14,6.14721211604774e-05
2026-02-15,6.265620868362021e-05
2026-02-16,4.17895626014797e-05
2026-02-17,-0.00015212646349027636
2026-02-27,6.194106814897775e-05
2026-02-28,0.00015576270016026683
2026-03-01,4.614712015609257e-05
2026-03-04,5.362812271414441e-05
2026-03-05,-6.80423981975764e-05
2026-03-06,0.00012575474102050066
2026-03-08,5.168804054846987e-05
2026-03-09,2.7150404700175084e-05
2026-03-10,0.00016279002011287955
2026-03-11,-0.0002430336535326205
2026-03-12,1.4818036409754615e-05
2026-03-13,3.147737546290349e-05
2026-03-14,0.00013726173953424828
2026-03-15,6.198522260092432e-05
2026-03-16,-6.003707797693399e-05
2026-03-17,0.0001419316564958232
2026-03-18,0.00033625253369488445
2026-03-19,0.0006689121364615858
2026-03-23,6.829046848603564e-05
2026-03-24,-2.184669877654717e-05
2026-03-25,-3.636562450992642e-05
2026-03-27,-7.323713756098489e-05
2026-03-29,0.0004370174580496193
2026-04-01,5.928063728788402e-06
2026-04-02,5.4709769756300375e-05
2026-04-03,2.710006810957566e-06
2026-04-05,-0.0002187145801144652
2026-04-06,0.0004135667501638333
2026-04-07,4.522644424772201e-05
2026-04-08,0.0001829042836713294
2026-04-09,-0.00012854658416472375
2026-04-11,0.00025602642563171685
2026-04-13,0.0003925953933503479
