Polutan,f1_abs_energy,f2_auc,f3_autocorr,f4_average_power,f5_calc_centroid,f6_calc_max,f7_calc_mean,f8_calc_median,f9_calc_min,f10_calc_std,f11_calc_var,f12_dfa,f13_distance,f14_ecdf,f15_ecdf_percentile,f16_ecdf_percentile_count,f17_ecdf_slope,f18_entropy,f19_fundamental_frequency,f20_higuchi_fractal_dimension,f21_hist_mode,f22_human_range_energy,f23_hurst_exponent,f24_interq_range,f25_kurtosis,f26_lempel_ziv,f27_lpcc,f28_max_frequency,f29_max_power_spectrum,f30_maximum_fractal_length,f31_mean_abs_deviation,f32_mean_abs_diff,f33_mean_diff,f34_median_abs_deviation,f35_median_abs_diff,f36_median_diff,f37_median_frequency,f38_mfcc,f39_mse,f40_negative_turning,f41_neighbourhood_peaks,f42_petrosian_fractal_dimension,f43_pk_pk_distance,f44_positive_turning,f45_power_bandwidth,f46_rms,f47_skewness,f48_slope,f49_spectral_centroid,f50_spectral_decrease,f51_spectral_distance,f52_spectral_entropy,f53_spectral_kurtosis,f54_spectral_positive_turning,f55_spectral_roll_off,f56_spectral_roll_on,f57_spectral_skewness,f58_spectral_slope,f59_spectral_spread,f60_spectral_variation,f61_spectrogram_mean_coeff,f62_sum_abs_diff,f63_wavelet_abs_mean,f64_wavelet_energy,f65_wavelet_entropy,f66_wavelet_std,f67_wavelet_var,f68_zero_cross
CH4,1290711725.8261266,6844.83206566,17.0,354591133.4687161,1.8283171475934799,1916.853485,1880.44897199726,1879.6080219453124,1841.515849,10.400616670281968,108.17282712214715,1.001193351589901,846.1215902785755,0.01506849315068493,1879.328053923828,182.5,0.04058905121873201,0.9974249946972465,0.273972602739726,1.7022185135872872,1882.9515488,4.143903890091557e-06,0.927859752928174,12.578146980468773,1.2718969060369592,0.11506849315068493,0.9808691503338824,0.0,0.25130592732867385,2.938826118107826,7.926628466192873,1.608429664835168,0.1673704725274723,6.31483752135432,0.07999086328140947,0.0799908632811821,0.0,-0.8726632688994518,0.09095107105389603,8.0,4.0,1.003138470510396,75.3376360000002,8.0,15.342465753424657,1880.4777342772968,0.4562325536221305,0.0702878699591341,0.4722494767192527,-176.53080855829512,-63636722.28062074,0.6542350623441393,101.56320258271903,35.0,0.0,0.0,9.531093279346445,-0.0006380723730671478,3.64334610605474,0.5379159825386466,0.870719610762786,585.4683980000011,109.93368949336872,403.21205965671584,1.945199326228034,387.2364635790195,187885.2958338369,0.0
CO,0.3006801397605139,0.10400416803499998,2.0,0.08260443400014117,1.8164853999917396,0.036133628,0.02858407714520547,0.028388759,0.020487351,0.0025945594192979832,6.731738580267889e-06,0.8275778955395379,364.00115296330017,0.01506849315068493,0.028493057500000002,182.5,127.67976851760106,1.0000000000000002,0.273972602739726,1.9117927038148625,0.02752817565,0.0007979093759146906,0.7644448705073768,0.0035164221428570994,0.07014379922181613,0.18904109589041096,0.9065599287423433,39.17808219178082,0.18155705864257465,-0.10151971859965571,0.002087784760997057,0.0017810302994505495,2.210436813186793e-06,0.0017996189999999988,0.0011963132499999505,-8.534949999999819e-05,0.0,19.939467003144525,1.3146348365093803,72.0,16.0,1.0252995825509506,0.015646277,71.0,39.178082191780824,0.028701588890222188,0.2243567636523388,-4.844971317027848e-07,7.9292056029498506,-8.151131677835176,-1112.2022289476095,0.8513729819675249,4.501460630963376,58.0,39.17808219178082,0.0,1.6345492898232277,-0.00044354162265063997,13.189139448130284,0.730012081831943,1.1090024352426554e-07,0.648295029,0.0016681693336268106,0.006868759296027231,2.130312668408105,0.006641708054254349,5.113699739571181e-05,0.0
NO2,4.752862946011761e-07,0.00012227485,7.0,1.3057315785746596e-07,1.699385246799333,6.86e-05,3.359173972602739e-05,3.32e-05,5.23e-06,1.3181398027632605e-05,1.7374925396287674e-10,1.1202411104771226,364.0000000134996,0.01506849315068493,3.32e-05,182.5,30487.80487804877,0.9650670515734132,0.273972602739726,1.7804440797185814,3.37465e-05,0.017209636112088894,0.8698145855319296,1.65e-05,0.10347538520316935,0.16712328767123288,0.7163314746009782,43.28767123287671,0.5313633195339111,-2.581872217223025,1.0295559080714118e-05,5.51054945054945e-06,1.8681318681318693e-08,8.185714285714286e-06,2.581818181818189e-06,3.33333333333329e-07,4.383561643835616,18.64187365945274,1.208544661396659,56.0,15.0,1.0200154513928763,6.337e-05,56.0,24.383561643835616,3.608537420872955e-05,0.3464967556109271,-1.8426549085318458e-08,11.477894890542014,-2.2081490860456143,-2.1271845418351436,0.7026530521063843,3.137031235915898,57.0,43.28767123287671,0.0,1.1780448365203415,-0.00035096642461748774,14.365707862379955,0.3873863576167842,2.8342807077936795e-12,0.00200584,1.4124012281537401e-06,2.1039016780332775e-05,2.115041531019986,2.0985380298203552e-05,5.004992694506861e-10,0.0
SO2,1.1582786427598197e-05,0.00042343489937877126,2.0,3.182084183406098e-06,1.8606598185337515,0.000553949,5.495878356164186e-05,4.86e-05,-0.000478435,0.0001694496785328881,2.8713193554899118e-08,0.7879360390213188,364.0000059971084,0.01506849315068493,5.690328571428571e-05,182.5,2380.4659827082955,0.996781243371558,0.273972602739726,1.965758651354115,-1.3862200000000025e-05,0.05951981788001889,0.7019728711675447,0.00020564149999999999,0.560417431224637,0.20273972602739726,0.21751799008258066,46.84931506849315,0.21335789621970302,-1.2273965889199783,0.0001289185084037552,0.00013121847527472529,-2.090376373626375e-06,0.0001036,9.32315e-05,-2.2285714285714324e-06,18.356164383561644,37.842098273160126,1.162050464169413,77.0,17.0,1.0271502205693999,0.001032384,77.0,45.205479452054796,0.00017813944382273823,0.1236031265099253,2.400678263984723e-07,20.572706921811957,-0.17868440981911565,-8.367418231256291,0.8620803565295749,1.889852601476812,59.0,46.84931506849315,0.273972602739726,0.37007496791095645,-0.00011370867770429187,15.16801240761211,0.24494445715453672,5.144108747915092e-10,0.047763525,3.002120230122305e-06,0.00020893969982756702,2.1852730909339124,0.00020891204897310997,4.4427658694675996e-08,109.0
